Station ID,Complex ID,GTFS Stop ID,Division,Line,Stop Name,Borough,Daytime Routes,Structure,GTFS Latitude,GTFS Longitude,zipcode
243,245,245,F30,IND,6th Av - Culver,18 Av,Bk,F,Elevated,40.629754999999996,-73.97697099999999,11230
244,246,246,F31,IND,6th Av - Culver,Avenue I,Bk,F,Elevated,40.625322,-73.976127,11230
245,247,247,F32,IND,6th Av - Culver,Bay Pkwy,Bk,F,Elevated,40.620769,-73.975264,11230
246,248,248,F33,IND,6th Av - Culver,Avenue N,Bk,F,Elevated,40.615140000000004,-73.974197,11230
247,249,249,F34,IND,6th Av - Culver,Avenue P,Bk,F,Elevated,40.608944,-73.973022,11230
248,250,250,F35,IND,6th Av - Culver,Kings Hwy,Bk,F,Elevated,40.603217,-73.97236099999999,11223
249,251,251,F36,IND,6th Av - Culver,Avenue U,Bk,F,Elevated,40.596063,-73.973357,11223
250,252,252,F38,IND,6th Av - Culver,Avenue X,Bk,F,Elevated,40.589620000000004,-73.97425,11223
251,253,253,F39,IND,6th Av - Culver,Neptune Av,Bk,F,Elevated,40.581011,-73.974574,11224
252,254,254,F01,IND,Queens - Archer,Jamaica - 179 St,Q,F,Subway,40.712646,-73.783817,11432
253,255,255,F02,IND,Queens - Archer,169 St,Q,F,Subway,40.71047,-73.793604,11432
254,256,256,F03,IND,Queens - Archer,Parsons Blvd,Q,F,Subway,40.707564,-73.803326,11432
255,257,257,F04,IND,Queens - Archer,Sutphin Blvd,Q,F,Subway,40.705459999999995,-73.81070799999999,11435
